Location,"Lat, Long",Address,Property Score,#Green_Rooms,#Total_Rooms,#Proposed_Beds,Reject_Property
"https://www.google.com/maps/place/28%C2%B028'32.1%22N+77%C2%B004'58.0%22E/@28.475592,77.0805843,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.475592!4d77.082773","28.475592,77.0805843,",Sector 28,2,20,20,40,NO
"https://www.google.com/maps/place/28%C2%B029'22.8%22N+77%C2%B005'03.9%22E/@28.4896584,77.0822382,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4896584!4d77.0844269?hl=en","28.4896584,77.0822382","M10/1C,DLF PHASE 2,GURUGRAM",7.7,6,9,12,YES
"https://www.google.com/maps/place/28%C2%B028'43.3%22N+77%C2%B001'29.0%22E/@28.4787034,77.0225436,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4787034!4d77.0247323?hl=en","28.4787034,77.0225436","Part- 6, Gurgaon Village, Sector 6, Gurugram, Haryana 122006 
",6.6,36,36,72,NO
https://goo.gl/maps/ra575JChgdiy1Erf6,"28.460861, 77.087861",HOUSE NO 7412 DLF PHASE 4,7.05,18,18,53,NO
https://goo.gl/maps/dfAZBuK6cySUcyJR6,"28.450500, 77.043944",HOUSE NO 1340 SECTOR 31,6.05,16,16,37,NO
https://goo.gl/maps/FtxAHm2FJVmF3YW29,"28.452764, 77.054260",HOUSE NO-46 P SECTOR 40 ,6.5,12,12,33,NO
https://goo.gl/maps/DLpAK8QmCwBNuPqp8,"28.464750, 77.046028",HOUSE N0-1456  PART 2 SECTOR 15,6.15,10,11,26,NO
"https://www.google.com/maps/place/28%C2%B029'29.7%22N+77%C2%B005'39.1%22E/@28.491591,77.0919913,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.491591!4d77.09418?hl=en-US","28.491591,77.0919913,","U-51/38, Gali Number 4, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122022",7.8,21,25,42,NO
https://goo.gl/maps/jM2xAa4gdjvxyhCD6,"28.452764, 77.054260","HOUSE NO 977, SECTOR 31 ",6.85,7,11,19,YES
"https://www.google.com/maps/place/28%C2%B029'33.9%22N+77%C2%B005'41.9%22E/@28.492756,77.0927773,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.492756!4d77.094966?hl=en-US","28.492756,77.0927773,","U- 34/70, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122022",6.55,21,22,42,NO
"https://www.google.com/maps/place/28%C2%B029'38.7%22N+77%C2%B005'44.1%22E/@28.4941439,77.0949104,19z/data=!4m5!3m4!1s0x0:0x0!8m2!3d28.4940812!4d77.0955769?hl=en","28.4941439,77.0949104","Easy day,13, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002",7.35,54,62,162,YES
https://goo.gl/maps/xG1rGc8QaeEbhB9J9,"28.433583, 77.051056","Plot no 1135, Sector 46 ",8.7,21,21,42,YES
https://goo.gl/maps/WbVqnjUG2nWPmStL7,"28.472556, 77.081750","PLOT NO - 29 , CHAKKARPUR ,DLF PHASE 4",8.1,40,40,88,NO
"https://www.google.com/maps/place/28%C2%B029'18.6%22N+77%C2%B005'46.0%22E/@28.4884853,77.0939112,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4884853!4d77.0960999?hl=en","28.4884853,77.0939112","U 63/9 ,DLF Phase 3",1.3,10,13,19,YES
"https://www.google.com/maps/place/28%C2%B029'20.1%22N+77%C2%B005'47.3%22E/@28.4889278,77.094285,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4889278!4d77.0964737?hl=en","28.4889278,77.094285,","U- 60/31, Dlf Phase 3",1.3,12,13,24,YES
"https://www.google.com/maps/place/28%C2%B029'50.9%22N+77%C2%B003'34.3%22E/@28.4974752,77.0573375,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4974752!4d77.0595262?hl=en","28.4974752,77.0573375","AYUSG PG,HOUSE NO-423,GALI NO.-9,SATGURU ENCLAVE,GURUGRAM",7.75,10,10,20,NO
https://goo.gl/maps/WQmrpgfnBvb2AuJGA,"28.455056, 77.088417","C 2703, Sushant Lok-1, Sector 43",6,9,9,18,NO
https://goo.gl/maps/u7YZLmiJUCN4ue4b6,"28.420250, 77.090194",F-27G near hongkong market sec. 57,1.8,11,11,24,Yes
https://goo.gl/maps/SDUvaCLVyrR2,"28.4373984,77.0854965","18, Saraswati kunj 2, sector 52, Wazirabad, Gurgaon, Haryana",8.5,21,23,36,YES
https://goo.gl/maps/2vEBDXPdSDp14EE48,"28.430917, 77.059944","house no 1566,sector 46",8.5,14,14,34,NO
"https://www.google.com/maps/place/28%C2%B030'26.8%22N+77%C2%B003'28.9%22E/@28.507435,77.0558483,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.507435!4d77.058037","28.507435,77.0558483,","HOUSE NO.-3778,Sector-23,GURUGRAM",8.05,13,19,26,YES
https://goo.gl/maps/na6G1KtBk1EWvaM7A,"28.439333, 77.083694","House Number 1557, Wazirabad, Gurgaon, Haryana",7.8,37,37,107,NO
"https://www.google.com/maps?q=28.457109451293945,77.0578384399414&z=17&hl=en","28.457109451293945,77",Sector 38,7.8,36,36,103,YES
https://goo.gl/maps/a3hhZjBm8sBbQx7F6,"28.44981,77.0543674",Plot no 483 Sector 40,9,8,8,16,YES
https://goo.gl/maps/7ENJHive16RAMqKL8,"28.490000, 77.109306","Pt no:4-9, T block, Sec-24",8.9,14,14,20,
https://goo.gl/maps/rmedbS62ynJimH19A,"28.412372, 77.061022","Pt no E 64, Rosewood",8.2,10,10,19,YES
https://maps.app.goo.gl/zUQpb9YFwmWfDiV49,"28.4382868,77.0345846",Sai Residency islampur colony sector 38 Gurgaon Haryana,7.85,20,20,40,NO
https://goo.gl/maps/zAvUnEeBfKswmZiw9,"28.423111, 77.085667","house no 30025,sector 46",8.5,12,12,24,NO
https://goo.gl/maps/DQQJJVrnTNK3oMnD7,"28.418829, 77.049649","55,Q1 block road ,south city II, sector 49",6.15,3,8,6,YES
https://goo.gl/maps/vzCifA8afQ2TJUTEA,"28.439309, 77.046970",Teja Apartment guest House sector 39 Jharsa,8.3,55,55,110,NO
"https://www.google.com/maps/place/28%C2%B029'20.6%22N+77%C2%B005'42.0%22E/@28.4890404,77.0927973,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d28.4890404!4d77.094986?hl=en","28.4890404,77.0927973","U64/43, DLF PHASE 3,GURUGRAM",8.35,10,11,19,NO
https://goo.gl/maps/kW8NcDFcoHk,"28.431528, 77.076417","680, Sector 52",,17,17,34,NO
